date,new_cases
2021-02-14,1295127.0
2021-02-15,1194746.0
2021-02-16,1537734.0
2021-02-17,1666220.0
2021-02-18,1758119.0
2021-02-19,1757340.0
2021-02-20,1589727.0
2021-02-21,1353799.0
2021-02-22,1249701.0
2021-02-23,1682676.0
2021-02-24,1926200.0
2021-02-25,1944400.0
2021-02-26,1896890.0
2021-02-27,1695679.0
2021-02-28,1321468.0
2021-03-01,1295707.0
2021-03-02,1668792.0
2021-03-03,1917395.0
2021-03-04,1971302.0
2021-03-05,1935424.0
2021-03-06,1774185.0
2021-03-07,1593045.0
2021-03-08,1285464.0
2021-03-09,1791919.0
2021-03-10,2043688.0
2021-03-11,2073505.0
2021-03-12,2110443.0
2021-03-13,1956931.0
2021-03-14,1568353.0
2021-03-15,1505911.0
2021-03-16,2023379.0
2021-03-17,2380620.0
2021-03-18,2365709.0
2021-03-19,2418475.0
2021-03-20,2137696.0
2021-03-21,1878758.0
2021-03-22,1813453.0
2021-03-23,2226804.0
2021-03-24,2768500.0
2021-03-25,2811493.0
2021-03-26,2755457.0
2021-03-27,2498733.0
2021-03-28,2033994.0
2021-03-29,1944675.0
2021-03-30,2466889.0
2021-03-31,2946416.0
2021-04-01,3040057.0
2021-04-02,2721735.0
2021-04-03,2212693.0
2021-04-04,2394631.0
2021-04-05,2056456.0
2021-04-06,2518186.0
2021-04-07,2864584.0
2021-04-08,3609204.0
2021-04-09,3141836.0
2021-04-10,2771939.0
2021-04-11,2962832.0
2021-04-12,2547425.0
2021-04-13,3291965.0
2021-04-14,3463688.0
2021-04-15,3428132.0
2021-04-16,3575275.0
2021-04-17,3284700.0
2021-04-18,2810596.0
2021-04-19,2857671.0
2021-04-20,3595344.0
2021-04-21,3709460.0
2021-04-22,3760631.0
2021-04-23,3746955.0
2021-04-24,3365247.0
2021-04-25,2983705.0
2021-04-26,2794787.0
2021-04-27,3545477.0
2021-04-28,3751795.0
2021-04-29,3701732.0
2021-04-30,3629534.0
2021-05-01,3267740.0
2021-05-02,2772383.0
2021-05-03,2800698.0
2021-05-04,3311549.0
2021-05-05,3492071.0
2021-05-06,3579034.0
2021-05-07,3418987.0
2021-05-08,3218263.0
2021-05-09,2585186.0
2021-05-10,2553062.0
2021-05-11,3049689.0
2021-05-12,3115667.0
2021-05-13,2999751.0
2021-05-14,2898200.0
2021-05-15,2574698.0
2021-05-16,2221578.0
2021-05-17,2212100.0
2021-05-18,2564076.0
2021-05-19,2764599.0
2021-05-20,2562911.0
2021-05-21,2554617.0
2021-05-22,2326880.0
2021-05-23,1946594.0
2021-05-24,1829932.0
2021-05-25,2173127.0
2021-05-26,2325253.0
2021-05-27,2239333.0
2021-05-28,2059067.0
2021-05-29,1950204.0
2021-05-30,1580186.0
2021-05-31,1569443.0
2021-06-01,1876689.0
2021-06-02,1977927.0
2021-06-03,1965299.0
2021-06-04,1728372.0
2021-06-05,1606858.0
2021-06-06,1306768.0
2021-06-07,1307170.0
2021-06-08,1511537.0
2021-06-09,1699697.0
2021-06-10,1844191.0
2021-06-11,1707557.0
2021-06-12,1485318.0
2021-06-13,1219298.0
2021-06-14,1252681.0
2021-06-15,1517899.0
2021-06-16,1571358.0
2021-06-17,1596585.0
2021-06-18,1627335.0
2021-06-19,1402500.0
2021-06-20,1218914.0
2021-06-21,1199272.0
2021-06-22,1656724.0
2021-06-23,1603414.0
2021-06-24,1647568.0
2021-06-25,1684334.0
2021-06-26,1459739.0
2021-06-27,1249284.0
2021-06-28,1348668.0
2021-06-29,1543063.0
2021-06-30,1615832.0
2021-07-01,1767004.0
2021-07-02,1793988.0
2021-07-03,1507947.0
2021-07-04,1321654.0
2021-07-05,1549755.0
2021-07-06,1837187.0
2021-07-07,1899447.0
2021-07-08,1968202.0
2021-07-09,2104531.0
2021-07-10,1711169.0
2021-07-11,1502104.0
2021-07-12,1787455.0
2021-07-13,2181095.0
2021-07-14,2209874.0
2021-07-15,2371604.0
2021-07-16,2452052.0
2021-07-17,1995432.0
2021-07-18,1719440.0
2021-07-19,2037785.0
2021-07-20,2202749.0
2021-07-21,2298025.0
2021-07-22,2341645.0
2021-07-23,2987402.0
2021-07-24,2012739.0
2021-07-25,1813928.0
2021-07-26,2248053.0
2021-07-27,2506050.0
2021-07-28,2683173.0
2021-07-29,2650458.0
2021-07-30,3002891.0
2021-07-31,2110660.0
2021-08-01,1964909.0
2021-08-02,2371901.0
2021-08-03,2606820.0
2021-08-04,2804076.0
2021-08-05,2814705.0
2021-08-06,3350091.0
2021-08-07,2292082.0
2021-08-08,1907591.0
2021-08-09,2551112.0
2021-08-10,2657062.0
2021-08-11,3001459.0
2021-08-12,2906253.0
2021-08-13,3279547.0
2021-08-14,2259103.0
2021-08-15,1909159.0
2021-08-16,2724547.0
2021-08-17,2797978.0
2021-08-18,3022107.0
2021-08-19,2917385.0
2021-08-20,3215820.0
2021-08-21,2273238.0
2021-08-22,1836830.0
2021-08-23,2808562.0
2021-08-24,2835115.0
2021-08-25,3009245.0
2021-08-26,3026783.0
2021-08-27,3007189.0
2021-08-28,2301906.0
2021-08-29,1822798.0
2021-08-30,2720687.0
2021-08-31,2595329.0
2021-09-01,2989135.0
2021-09-02,2766333.0
2021-09-03,2912844.0
2021-09-04,2027743.0
2021-09-05,1806749.0
2021-09-06,1831136.0
2021-09-07,2875461.0
2021-09-08,2566700.0
2021-09-09,2665443.0
2021-09-10,2606348.0
2021-09-11,1898803.0
2021-09-12,1528714.0
2021-09-13,2387125.0
2021-09-14,2260537.0
2021-09-15,2338071.0
2021-09-16,2400516.0
2021-09-17,2540502.0
2021-09-18,1644534.0
2021-09-19,1493868.0
2021-09-20,2138631.0
2021-09-21,2000117.0
2021-09-22,2216291.0
2021-09-23,2236297.0
2021-09-24,2251391.0
2021-09-25,1551836.0
2021-09-26,1461596.0
2021-09-27,1939007.0
2021-09-28,1873510.0
2021-09-29,2024146.0
2021-09-30,2016652.0
2021-10-01,2140324.0
2021-10-02,1462605.0
2021-10-03,1283540.0
2021-10-04,1794469.0
2021-10-05,1761256.0
2021-10-06,2101348.0
2021-10-07,1910058.0
2021-10-08,1966244.0
2021-10-09,1430151.0
2021-10-10,1320479.0
2021-10-11,1558110.0
2021-10-12,1835373.0
2021-10-13,1904934.0
2021-10-14,1893391.0
2021-10-15,1913520.0
2021-10-16,1454494.0
2021-10-17,1319617.0
2021-10-18,1716478.0
2021-10-19,1885931.0
2021-10-20,2018253.0
2021-10-21,1957683.0
2021-10-22,2058145.0
2021-10-23,1566060.0
2021-10-24,1334156.0
2021-10-25,1794440.0
2021-10-26,1922680.0
2021-10-27,2215496.0
2021-10-28,1965649.0
2021-10-29,2177221.0
2021-10-30,1664417.0
2021-10-31,1454437.0
2021-11-01,1764809.0
2021-11-02,1819776.0
2021-11-03,2330737.0
2021-11-04,2269462.0
2021-11-05,2243502.0
2021-11-06,1855983.0
2021-11-07,1499534.0
2021-11-08,2053257.0
2021-11-09,2116838.0
2021-11-10,2583193.0
2021-11-11,2269220.0
2021-11-12,2577472.0
2021-11-13,1877281.0
2021-11-14,1581374.0
2021-11-15,2337394.0
2021-11-16,2322892.0
2021-11-17,2809251.0
2021-11-18,2710988.0
2021-11-19,2729829.0
2021-11-20,2134858.0
2021-11-21,1776842.0
2021-11-22,2732836.0
2021-11-23,2623997.0
2021-11-24,3007782.0
2021-11-25,2684964.0
2021-11-26,2691811.0
2021-11-27,2063654.0
2021-11-28,1811057.0
2021-11-29,2860882.0
2021-11-30,2771338.0
2021-12-01,3170593.0
2021-12-02,3138048.0
2021-12-03,3169380.0
2021-12-04,2285468.0
2021-12-05,1930267.0
2021-12-06,2540966.0
2021-12-07,3127274.0
2021-12-08,2940743.0
2021-12-09,3246271.0
2021-12-10,3025223.0
2021-12-11,2199992.0
2021-12-12,1914760.0
2021-12-13,2719167.0
2021-12-14,2912193.0
2021-12-15,3281711.0
2021-12-16,3224396.0
2021-12-17,3175377.0
2021-12-18,2562764.0
2021-12-19,2068857.0
2021-12-20,3195227.0
2021-12-21,3510260.0
2021-12-22,3953596.0
2021-12-23,4341024.0
2021-12-24,3674709.0
2021-12-25,3055006.0
2021-12-26,2424338.0
2021-12-27,5536451.0
2021-12-28,5869901.0
2021-12-29,7572006.0
2021-12-30,8509352.0
2021-12-31,7461066.0
2022-01-01,5303491.0
2022-01-02,3856493.0
2022-01-03,10425487.0
2022-01-04,11006421.0
2022-01-05,11280306.0
2022-01-06,11348333.0
2022-01-07,12718359.0
2022-01-08,9322956.0
2022-01-09,8694393.0
2022-01-10,13396203.0
2022-01-11,13542970.0
2022-01-12,15232414.0
2022-01-13,13689858.0
2022-01-14,14223068.0
2022-01-15,10589498.0
2022-01-16,9258656.0
2022-01-17,11638988.0
2022-01-18,16502801.0
2022-01-19,18204908.0
2022-01-20,16140302.0
2022-01-21,16571345.0
2022-01-22,11902594.0
2022-01-23,10483490.0
2022-01-24,14985493.0
2022-01-25,16212026.0
2022-01-26,16866595.0
2022-01-27,16243428.0
2022-01-28,15760700.0
2022-01-29,11641339.0
2022-01-30,9855484.0
2022-01-31,12042978.0
2022-02-01,14588800.0
2022-02-02,14239599.0
2022-02-03,13908449.0
2022-02-04,12725324.0
2022-02-05,9747934.0
2022-02-06,7902427.0
2022-02-07,11201219.0
2022-02-08,12636144.0
2022-02-09,10706755.0
2022-02-10,12233848.0
2022-02-11,10400642.0
2022-02-12,7920147.0
2022-02-13,6245654.0
2022-02-14,7738653.0
2022-02-15,7692972.0
2022-02-16,10756073.0
2022-02-17,8855199.0
2022-02-18,8387972.0
2022-02-19,6656326.0
2022-02-20,5425853.0
2022-02-21,6293660.0
2022-02-22,7852174.0
2022-02-23,8406389.0
2022-02-24,7616303.0
2022-02-25,6872912.0
2022-02-26,5683886.0
2022-02-27,4512437.0
2022-02-28,5991307.0
2022-03-01,6619902.0
2022-03-02,7144738.0
2022-03-03,8243294.0
2022-03-04,7376005.0
2022-03-05,5859944.0
